,TPTG,TPCH,TPFC,TPA1,TPA2,TPAB,VLTG,VLCH,VLFC,VLPL,VLAB,IDTG,IDCH,IDFC,IDPL,IDAB,LDTG,LDCH,LDFC,LDPL,LDAB,HDTG,HDCH,HDFC,HDPL,HDA1,HDA2,V1TG,V1CH,V1FC,V1PL,V2TG,V2CH,V2FC,V2PL,V3TG,V3CH,V3FC,V3PL,V4TG,V4CH,V4FC,V4PL,V5TG,V5CH,V5FC,V5PL,V6TG,V6CH,V6FC,V6PL,L1TG,L1CH,L1FC,L1PL,L1AB,L2TG,L2CH,L2FC,L2PL,L2AB,L3TG,L3CH,L3FC,L3PL,L3AB,L4TG,L4CH,L4FC,L4PL,L4AB,L5TG,L5CH,L5FC,L5PL,L5AB,L6TG,L6CH,L6FC,L6PL,L6AB,H1TG,H1CH,H1FC,H1PL,H1A1,H1A2,H2TG,H2CH,H2FC,H2PL,H2A1,H2A2,H3TG,H3CH,H3FC,H3PL,H3A1,H3A2,H4TG,H4CH,H4FC,H4PL,H4A1,H4A2
VLAB,0.9097,0.425,0.4451,-0.0587,0.2225,0.5871,0.8866,0.9453,0.963,0.8751,1,0.81,0.7455,0.7139,0.8702,0.7506,0.5718,0.1632,0.0791,0.164,0.3744,0.3249,-0.3162,-0.2157,-0.2044,-0.1078,0.2894,0.7648,0.7996,0.7544,0.747,0.8505,0.8781,0.8911,0.8502,0.9121,0.9158,0.9528,0.9179,0.9021,0.8641,0.9228,0.8989,0.6375,0.2648,0.5383,0.5436,0.2481,-0.3267,0.1409,0.8708,0.4637,-0.0468,0.0558,-0.0281,0.0321,0.0779,-0.4206,-0.4347,-0.3961,-0.3808,0.0996,-0.3073,-0.384,-0.3139,-0.2657,0.3832,0.1429,0.1003,0.143,0.2312,0.6724,0.4844,0.5379,0.465,0.5739,0.6032,0.5656,0.3996,0.5627,0.6476,0.0624,-0.3504,-0.3263,-0.301,-0.3545,-0.122,0.2256,-0.265,-0.1405,-0.0505,-0.1482,0.1502,0.4427,-0.0735,-0.052,0.0463,0.0765,0.2686,0.4735,0.0367,0.0924,0.1038,0.2115,0.282
IDTG,0.9359,0.3298,0.3298,0.0266,0.3511,0.4359,0.9025,0.8518,0.8649,0.8119,0.81,1,0.6775,0.6036,0.8453,0.6763,0.5263,0.0396,-0.0492,0.0359,0.2434,0.4139,-0.1847,-0.1477,-0.0752,-0.0179,0.4126,0.8894,0.9099,0.8743,0.8608,0.7343,0.7949,0.8154,0.7613,0.7097,0.7603,0.8404,0.7365,0.6238,0.5841,0.6839,0.6191,0.4021,0.0851,0.5825,0.2613,0.4356,-0.0594,0.2998,0.8995,0.4978,-0.0315,0.039,-0.0107,0.0458,0.077,-0.3361,-0.3488,-0.3024,-0.3102,0.0431,-0.2801,-0.376,-0.2939,-0.2478,0.1912,0.0317,-0.0636,0.0304,0.1095,0.5267,0.3759,0.3835,0.3576,0.4513,0.5912,0.5277,0.3706,0.5431,0.6381,0.2137,-0.1534,-0.1577,-0.1121,-0.1768,0.0761,0.3005,-0.1139,-0.0411,0.0902,-0.0029,0.327,0.5097,0.0096,-0.0453,0.1287,0.1473,0.4109,0.4825,-0.0405,-0.0571,0.0761,0.066,0.2449
IDCH,0.6955,0.588,0.5809,0.0207,0.2216,0.6581,0.6301,0.7811,0.753,0.6288,0.7455,0.6775,1,0.8795,0.843,0.9531,0.6122,0.3211,0.2869,0.3335,0.498,0.2807,-0.1675,-0.0439,-0.09,-0.0213,0.2717,0.5423,0.6475,0.5479,0.5284,0.6162,0.7553,0.6825,0.6232,0.6427,0.7347,0.7,0.6406,0.6418,0.7788,0.7781,0.7176,0.4614,0.2454,0.4442,0.4401,0.2765,-0.2412,0.1703,0.7256,0.5944,0.3392,0.4482,0.3609,0.4271,0.2734,-0.2046,-0.1621,-0.175,-0.1584,0.215,-0.1561,-0.1533,-0.1564,-0.1055,0.3583,0.1116,0.1334,0.114,0.1891,0.6029,0.3639,0.4435,0.3439,0.4557,0.4959,0.502,0.4147,0.4928,0.58,0.0935,-0.1965,-0.1756,-0.176,-0.2281,-0.0623,0.191,-0.1403,-0.0201,-0.0029,-0.0508,0.1316,0.3722,0.018,0.0687,0.0948,0.1206,0.2539,0.3562,0.0092,0.119,0.0649,0.1654,0.2237
IDFC,0.6274,0.588,0.517,0.0217,0.2404,0.6335,0.5629,0.767,0.7146,0.5962,0.7139,0.6036,0.8795,1,0.8261,0.8632,0.5751,0.3597,0.3227,0.3819,0.4928,0.2846,-0.192,-0.0824,-0.073,-0.0206,0.2823,0.4319,0.5787,0.4662,0.4475,0.5847,0.724,0.6701,0.6001,0.6345,0.7324,0.6637,0.6186,0.6538,0.8094,0.8013,0.734,0.4774,0.3894,0.4301,0.5238,0.3298,-0.3031,-0.0201,0.6888,0.5482,0.3613,0.4523,0.3916,0.4063,0.2322,-0.2043,-0.1766,-0.1588,-0.1704,0.2219,-0.0776,-0.0628,-0.0694,-0.0397,0.4315,0.2528,0.2915,0.2563,0.3241,0.5914,0.4192,0.5085,0.4043,0.4913,0.4679,0.3863,0.3207,0.3845,0.4671,-0.0009,-0.2766,-0.2134,-0.2408,-0.3062,-0.1145,0.1746,-0.1944,-0.035,-0.0309,-0.1266,0.0583,0.3724,0.0549,0.0521,0.1121,0.1113,0.2284,0.4265,0.1751,0.2399,0.224,0.3057,0.3351
IDPL,0.8358,0.5582,0.5256,0.0232,0.4253,0.672,0.7947,0.8848,0.8581,0.8009,0.8702,0.8453,0.843,0.8261,1,0.8577,0.685,0.3229,0.2304,0.3376,0.4912,0.429,-0.2235,-0.177,-0.0859,-0.0192,0.4769,0.6933,0.7732,0.7131,0.7038,0.7247,0.8093,0.799,0.749,0.7728,0.8511,0.8445,0.8082,0.7785,0.8307,0.8892,0.8328,0.5308,0.2998,0.5748,0.4903,0.4574,-0.0769,0.1013,0.8816,0.6165,0.2287,0.3036,0.2534,0.3057,0.3053,-0.2401,-0.2451,-0.2032,-0.1932,0.2982,-0.0999,-0.1939,-0.1008,-0.0476,0.4896,0.3079,0.2441,0.3119,0.397,0.6624,0.5269,0.5703,0.5126,0.6072,0.5045,0.4703,0.3478,0.4726,0.563,0.1277,-0.2858,-0.249,-0.2266,-0.2962,-0.0027,0.3193,-0.1542,0.0056,0.0631,-0.0573,0.315,0.5701,0.0658,0.0843,0.1749,0.1844,0.4756,0.5599,0.0806,0.1296,0.2082,0.196,0.3706
IDAB,0.6869,0.532,0.506,0.091,0.2994,0.6239,0.5949,0.7366,0.714,0.5936,0.7506,0.6763,0.9531,0.8632,0.8577,1,0.7189,0.2462,0.2031,0.281,0.452,0.3883,-0.1074,-0.0344,0.0095,0.0504,0.3524,0.507,0.5998,0.5014,0.4802,0.5245,0.6612,0.6062,0.5346,0.574,0.6714,0.6492,0.5862,0.6905,0.8038,0.8085,0.7637,0.601,0.3407,0.4859,0.5046,0.2989,-0.1872,0.1742,0.705,0.7177,0.2926,0.3982,0.3411,0.4125,0.3634,-0.2462,-0.2041,-0.2127,-0.1876,0.3129,-0.1968,-0.2036,-0.1878,-0.1364,0.4505,0.0859,0.1079,0.0992,0.1761,0.6332,0.3347,0.4204,0.3218,0.4342,0.503,0.4564,0.3626,0.464,0.5472,0.1929,-0.1529,-0.1549,-0.1085,-0.1716,0.0343,0.3071,-0.0499,0.0567,0.1177,0.0498,0.2439,0.4788,0.1192,0.1052,0.2128,0.2252,0.3529,0.3852,-0.0077,0.1028,0.0839,0.1463,0.2081
LDTG,0.5696,0.515,0.5213,0.1551,0.3202,0.7022,0.4643,0.5004,0.4905,0.4171,0.5718,0.5263,0.6122,0.5751,0.685,0.7189,1,0.3911,0.3652,0.4735,0.6174,0.4501,-0.0294,0.0115,0.1156,0.134,0.3639,0.3936,0.4482,0.4099,0.3929,0.461,0.5069,0.5173,0.4485,0.4672,0.4999,0.4993,0.4778,0.4829,0.552,0.5496,0.5461,0.3677,0.1283,0.2369,0.1757,0.39,0.0956,-0.0369,0.627,0.8457,0.2343,0.3072,0.309,0.4081,0.6651,-0.0814,-0.0566,-0.0452,0.0069,0.733,0.0522,0.0309,0.0846,0.1586,0.8017,0.2449,0.3522,0.2701,0.3569,0.8001,0.3805,0.5313,0.3855,0.4973,0.6286,0.4388,0.4122,0.4664,0.5093,0.3204,-0.0383,-0.0294,0.0173,-0.0345,0.1964,0.3953,0.0241,0.114,0.193,0.1298,0.3584,0.5104,0.1456,0.1636,0.2542,0.2598,0.3831,0.3397,-0.0844,0.0975,0.0494,0.0776,0.1248
LDCH,0.1263,0.8725,0.8281,0.1151,0.1837,0.8507,0.1161,0.1657,0.1734,0.118,0.1632,0.0396,0.3211,0.3597,0.3229,0.2462,0.3911,1,0.9627,0.9887,0.9296,-0.1728,0.0969,0.1766,-0.0414,0.0973,0.1956,0.0346,0.0664,0.0681,0.0597,0.2272,0.2286,0.2077,0.2006,0.2424,0.2274,0.1841,0.206,0.1418,0.252,0.2132,0.1939,-0.0201,-0.0311,-0.0719,-0.0231,0.1306,-0.0998,0.0469,0.3153,0.2461,0.6347,0.6786,0.5916,0.614,0.451,0.4431,0.5135,0.4222,0.4491,0.4404,0.6101,0.6991,0.6031,0.6314,0.3579,0.5924,0.8192,0.5641,0.5728,0.3168,0.4348,0.5956,0.4071,0.4549,0.2469,0.4138,0.4609,0.383,0.3524,-0.208,-0.0314,0.0554,-0.1201,-0.1601,-0.1305,-0.2013,-0.0852,0.0183,-0.1226,-0.1434,-0.0716,-0.1538,0.047,0.2251,-0.0403,-0.003,0.019,-0.02,0.3273,0.3819,0.1652,0.3807,0.3551
LDFC,0.0374,0.8499,0.8477,0.1388,0.1068,0.796,0.0205,0.0769,0.0875,0.0231,0.0791,-0.0492,0.2869,0.3227,0.2304,0.2031,0.3652,0.9627,1,0.9565,0.9097,-0.2578,0.1349,0.2981,-0.0111,0.1278,0.1144,-0.0766,-0.0191,-0.0514,-0.0698,0.1545,0.1666,0.1468,0.1135,0.1739,0.1572,0.1,0.096,0.0576,0.1744,0.1317,0.0965,-0.0674,-0.1059,-0.1291,-0.095,0.1314,-0.148,-0.0031,0.2088,0.2295,0.6152,0.7361,0.5818,0.6128,0.4458,0.4089,0.5382,0.3764,0.4176,0.4192,0.5514,0.7887,0.5511,0.5816,0.3636,0.5548,0.8163,0.5313,0.5372,0.2703,0.3517,0.5318,0.3301,0.3721,0.2188,0.3406,0.4239,0.3185,0.2795,-0.2261,0.036,0.1572,-0.0521,-0.0888,-0.1089,-0.2853,-0.071,0.0931,-0.0997,-0.1026,-0.1141,-0.2439,0.0762,0.2823,-0.0347,0.0128,-0.0392,-0.1074,0.3121,0.4269,0.1417,0.3713,0.2659
LDPL,0.1229,0.8739,0.8217,0.1723,0.226,0.8554,0.095,0.154,0.1582,0.0966,0.164,0.0359,0.3335,0.3819,0.3376,0.281,0.4735,0.9887,0.9565,1,0.9355,-0.1003,0.1377,0.2101,0.0403,0.159,0.2348,0.0117,0.0504,0.0495,0.0406,0.2186,0.224,0.201,0.1859,0.2332,0.2182,0.1683,0.1969,0.1412,0.258,0.2161,0.2018,0.0093,0.0005,-0.077,-0.0031,0.1415,-0.0666,0.0041,0.3197,0.3351,0.6574,0.6947,0.631,0.6593,0.5392,0.4531,0.5192,0.4406,0.4715,0.5371,0.6255,0.707,0.6289,0.6588,0.4401,0.5887,0.8289,0.5681,0.5816,0.3552,0.4126,0.5852,0.3913,0.4412,0.2636,0.378,0.4344,0.3582,0.3281,-0.144,-0.0039,0.0784,-0.0731,-0.1203,-0.0648,-0.1198,-0.0254,0.0754,-0.0442,-0.0712,0.0021,-0.0755,0.1167,0.2838,0.049,0.0834,0.0813,-0.0004,0.3077,0.4026,0.1844,0.3749,0.3342
LDAB,0.3586,0.8903,0.8804,0.0784,0.2018,0.9546,0.3318,0.3631,0.3778,0.3071,0.3744,0.2434,0.498,0.4928,0.4912,0.452,0.6174,0.9296,0.9097,0.9355,1,-0.102,-0.0064,0.1399,-0.0805,0.0521,0.2472,0.2404,0.2884,0.26,0.2432,0.4059,0.4323,0.4093,0.3865,0.397,0.4019,0.3736,0.3517,0.2812,0.393,0.3681,0.3296,0.1122,-0.0516,0.0534,0.0184,0.2226,-0.1489,0.0947,0.4961,0.409,0.487,0.6181,0.4704,0.5365,0.482,0.2009,0.2908,0.1849,0.2329,0.481,0.3742,0.5213,0.3752,0.4295,0.5285,0.5569,0.7675,0.5398,0.5842,0.5786,0.5492,0.7342,0.524,0.6107,0.4822,0.5984,0.6129,0.5805,0.5721,-0.1734,-0.093,0,-0.1528,-0.2147,-0.1156,-0.1567,-0.1579,0.0163,-0.0846,-0.1358,0.0062,-0.0234,0.046,0.2074,0.0129,0.0467,0.1085,0.0799,0.2617,0.355,0.1608,0.3665,0.3435
HDTG,0.3712,0.0043,0.0095,0.3363,0.4042,0.0365,0.3196,0.3408,0.3105,0.3567,0.3249,0.4139,0.2807,0.2846,0.429,0.3883,0.4501,-0.1728,-0.2578,-0.1003,-0.102,1,0.1686,0.0278,0.4435,0.3317,0.3814,0.3404,0.3368,0.3928,0.4014,0.256,0.2588,0.2503,0.2853,0.2421,0.2962,0.2849,0.3554,0.3154,0.3115,0.3643,0.3727,0.3115,0.4679,0.3847,0.4642,0.2537,0.4509,-0.226,0.4265,0.4804,0.1483,-0.0293,0.2098,0.2124,0.4312,0.0003,-0.1438,0.0896,0.0538,0.4617,0.0527,-0.3167,0.0821,0.0939,0.3492,0.0505,-0.1113,0.0824,0.1171,0.2781,0.1112,0.019,0.1348,0.1363,0.0664,-0.0823,-0.1556,-0.0426,0.0067,0.8282,0.2422,0.1466,0.3729,0.3509,0.581,0.9514,0.4084,0.2453,0.5012,0.4783,0.6598,0.9135,0.2376,0.139,0.4313,0.3945,0.5522,0.5415,-0.3085,-0.2338,0.0434,-0.253,-0.1283
HDCH,-0.2348,0.2871,0.2098,0.9112,0.5309,-0.0968,-0.3165,-0.3559,-0.3116,-0.3648,-0.3162,-0.1847,-0.1675,-0.192,-0.2235,-0.1074,-0.0294,0.0969,0.1349,0.1377,-0.0064,0.1686,1,0.8908,0.9072,0.9235,0.4764,-0.314,-0.3675,-0.3538,-0.3769,-0.3373,-0.3616,-0.4054,-0.4117,-0.282,-0.3608,-0.3404,-0.3524,-0.1219,-0.2202,-0.2224,-0.1973,0.1603,0.0114,-0.1772,-0.0678,-0.0284,0.3183,0.1299,-0.1079,0.0707,0.2568,0.2914,0.2853,0.2616,0.1855,0.333,0.468,0.3091,0.2986,0.0122,0.1995,0.3867,0.2144,0.1583,-0.211,-0.2034,-0.0114,-0.195,-0.2537,-0.2896,-0.3113,-0.2368,-0.3019,-0.3319,-0.014,-0.0413,0.086,0.0372,-0.0855,0.4504,0.8525,0.8574,0.8271,0.7882,0.7223,0.2489,0.9028,0.82,0.7843,0.8288,0.5657,0.0087,0.7793,0.7057,0.6669,0.6833,0.3852,-0.3269,0.1212,0.2809,0.0857,0.1206,-0.0542
HDFC,-0.144,0.4049,0.4174,0.859,0.4141,0.0413,-0.2189,-0.2505,-0.1891,-0.2707,-0.2157,-0.1477,-0.0439,-0.0824,-0.177,-0.0344,0.0115,0.1766,0.2981,0.2101,0.1399,0.0278,0.8908,1,0.7913,0.8641,0.3816,-0.257,-0.2705,-0.31,-0.3476,-0.2028,-0.2065,-0.2598,-0.2928,-0.1574,-0.2356,-0.231,-0.2937,-0.0937,-0.1699,-0.1593,-0.1857,0.1646,-0.1266,-0.1348,-0.1068,0.0052,0.1169,0.1054,-0.0599,0.0663,0.2002,0.3708,0.2272,0.2374,0.1357,0.1873,0.3996,0.1415,0.1649,-0.0399,0.0801,0.4627,0.0966,0.0593,-0.1514,-0.1316,0.087,-0.1251,-0.1674,-0.2061,-0.2352,-0.1319,-0.2276,-0.2454,0.1004,0.0565,0.1843,0.1294,0.0207,0.3146,0.7775,0.8746,0.7486,0.6956,0.5996,0.0663,0.7264,0.8085,0.6922,0.727,0.4362,-0.0932,0.7138,0.7561,0.5935,0.6428,0.2878,-0.3338,0.1844,0.4163,0.1264,0.2399,-0.0423
HDPL,-0.1168,0.1947,0.1162,0.9154,0.6114,-0.1397,-0.219,-0.2383,-0.2181,-0.2575,-0.2044,-0.0752,-0.09,-0.073,-0.0859,0.0095,0.1156,-0.0414,-0.0111,0.0403,-0.0805,0.4435,0.9072,0.7913,1,0.9339,0.5616,-0.2069,-0.2428,-0.2308,-0.2498,-0.2291,-0.2438,-0.2939,-0.2897,-0.208,-0.2612,-0.255,-0.2455,-0.0583,-0.1425,-0.122,-0.1056,0.2559,0.1453,-0.071,0.0936,0.0309,0.3945,-0.0423,0.0073,0.201,0.2102,0.216,0.2727,0.2476,0.2897,0.2052,0.2816,0.2195,0.2017,0.1629,0.123,0.2212,0.16,0.1134,-0.0049,-0.1876,-0.0387,-0.1603,-0.1896,-0.1515,-0.3017,-0.2427,-0.2768,-0.3005,-0.0289,-0.1636,-0.0644,-0.0659,-0.1543,0.6033,0.7756,0.7816,0.8392,0.7803,0.8447,0.5268,0.9373,0.8828,0.9383,0.9347,0.7662,0.3429,0.8691,0.7427,0.8598,0.8423,0.5905,-0.1429,-0.0209,0.2085,0.1163,0.0182,-0.1275
HDA1,-0.033,0.3558,0.2902,0.9969,0.6913,0.0087,-0.1265,-0.162,-0.1147,-0.1835,-0.1078,-0.0179,-0.0213,-0.0206,-0.0192,0.0504,0.134,0.0973,0.1278,0.159,0.0521,0.3317,0.9235,0.8641,0.9339,1,0.6491,-0.1495,-0.1889,-0.1828,-0.2058,-0.1341,-0.1613,-0.1934,-0.2103,-0.0823,-0.1571,-0.1432,-0.1499,0.0271,-0.0704,-0.0405,-0.0329,0.2722,0.0135,-0.1011,0.024,0.0929,0.2799,0.0513,0.0913,0.1963,0.1824,0.2593,0.2346,0.2231,0.2253,0.1427,0.2761,0.1324,0.1334,0.1019,0.1022,0.2953,0.1303,0.085,-0.0184,-0.0994,0.0989,-0.0816,-0.113,-0.1196,-0.2004,-0.1039,-0.1872,-0.1979,0.053,-0.0181,0.0834,0.0664,-0.029,0.4887,0.7089,0.7556,0.7385,0.6754,0.708,0.3801,0.8392,0.8516,0.8512,0.8508,0.6705,0.2389,0.8715,0.8197,0.8127,0.8557,0.5544,-0.1374,0.1916,0.4178,0.216,0.296,0.0867
HDA2,0.3868,0.44,0.3263,0.668,0.9913,0.3019,0.3605,0.3066,0.3148,0.3231,0.2894,0.4126,0.2717,0.2823,0.4769,0.3524,0.3639,0.1956,0.1144,0.2348,0.2472,0.3814,0.4764,0.3816,0.5616,0.6491,1,0.3123,0.3065,0.318,0.3077,0.2689,0.2685,0.2501,0.2623,0.2864,0.2916,0.29,0.2824,0.3234,0.2521,0.3415,0.2894,0.3506,0.07,0.27,0.1414,0.3891,0.3255,0.0818,0.5055,0.305,0.0737,0.1189,0.1136,0.1236,0.1505,-0.1283,-0.0583,-0.0988,-0.1181,0.1177,0.0075,0.0286,0.0205,0.0112,0.2178,0.2397,0.2391,0.2555,0.2755,0.2588,0.3138,0.3514,0.3175,0.335,0.2461,0.2795,0.285,0.3315,0.3104,0.1759,0.1448,0.2417,0.2064,0.1024,0.3767,0.3407,0.465,0.6197,0.6353,0.4944,0.7223,0.5262,0.7632,0.7132,0.7707,0.7682,0.8815,0.3512,0.4134,0.4888,0.5217,0.4587,0.5945
V1TG,0.9361,0.2497,0.2858,-0.104,0.2334,0.4146,0.9569,0.8232,0.8626,0.8573,0.7648,0.8894,0.5423,0.4319,0.6933,0.507,0.3936,0.0346,-0.0766,0.0117,0.2404,0.3404,-0.314,-0.257,-0.2069,-0.1495,0.3123,1,0.9563,0.9768,0.9737,0.7861,0.7914,0.8045,0.8283,0.6771,0.7069,0.8119,0.7355,0.513,0.4329,0.5583,0.4854,0.2921,-0.0477,0.5432,0.1826,0.3505,-0.039,0.3068,0.8686,0.28,-0.1689,-0.126,-0.1704,-0.1071,-0.0314,-0.3833,-0.4426,-0.3567,-0.3596,-0.0281,-0.306,-0.4655,-0.3269,-0.2697,0.137,0.0855,-0.0471,0.0761,0.16,0.5332,0.4654,0.4319,0.4431,0.5281,0.5474,0.5839,0.3811,0.5823,0.6667,0.1286,-0.2389,-0.2522,-0.2007,-0.2579,-0.005,0.2411,-0.219,-0.1674,-0.0088,-0.0872,0.2675,0.4678,-0.1192,-0.1725,0.0307,0.0432,0.3451,0.4546,-0.1164,-0.1956,0.0122,0.0006,0.1877
V1CH,0.9312,0.299,0.3212,-0.1447,0.2327,0.4604,0.9561,0.8966,0.9023,0.9097,0.7996,0.9099,0.6475,0.5787,0.7732,0.5998,0.4482,0.0664,-0.0191,0.0504,0.2884,0.3368,-0.3675,-0.2705,-0.2428,-0.1889,0.3065,0.9563,1,0.9674,0.9574,0.8056,0.8656,0.8719,0.8663,0.7204,0.8091,0.8559,0.7614,0.533,0.5195,0.6368,0.5339,0.2749,0.0233,0.6323,0.2345,0.4836,-0.0761,0.2308,0.8731,0.3334,-0.111,-0.0217,-0.1055,-0.0421,-0.0146,-0.4176,-0.4516,-0.3861,-0.3901,-0.0071,-0.3276,-0.4185,-0.3434,-0.2838,0.2203,0.1892,-0.0027,0.1852,0.2693,0.5888,0.5545,0.5021,0.5386,0.61,0.576,0.5678,0.3877,0.5668,0.6671,0.0773,-0.2912,-0.2809,-0.2466,-0.3105,-0.0545,0.1962,-0.2818,-0.1792,-0.044,-0.1367,0.2349,0.4904,-0.1311,-0.1705,0.0121,0.0243,0.3579,0.5648,-0.0373,-0.1288,0.1294,0.0447,0.241
V1FC,0.9069,0.2495,0.2729,-0.1418,0.2487,0.4303,0.9439,0.8417,0.8583,0.8877,0.7544,0.8743,0.5479,0.4662,0.7131,0.5014,0.4099,0.0681,-0.0514,0.0495,0.26,0.3928,-0.3538,-0.31,-0.2308,-0.1828,0.318,0.9768,0.9674,1,0.9945,0.8054,0.8176,0.8288,0.8635,0.6942,0.7475,0.8162,0.762,0.4937,0.4511,0.5676,0.4906,0.2238,0.0289,0.5812,0.2144,0.4072,0.0177,0.2301,0.864,0.2959,-0.1131,-0.1002,-0.1167,-0.0598,0.0059,-0.3362,-0.4191,-0.298,-0.3091,0.029,-0.2378,-0.4428,-0.2565,-0.2001,0.1876,0.1922,-0.0092,0.1847,0.2649,0.5513,0.5487,0.4785,0.531,0.5972,0.5199,0.5571,0.3683,0.5484,0.6393,0.1262,-0.2809,-0.3015,-0.2393,-0.2919,-0.0316,0.2635,-0.257,-0.2194,-0.0499,-0.1364,0.2579,0.5242,-0.1592,-0.1954,-0.0014,0.0061,0.3591,0.5745,-0.0606,-0.1783,0.1105,0.0152,0.2469
V1PL,0.8947,0.2231,0.2418,-0.1658,0.2411,0.4175,0.9387,0.835,0.8499,0.8889,0.747,0.8608,0.5284,0.4475,0.7038,0.4802,0.3929,0.0597,-0.0698,0.0406,0.2432,0.4014,-0.3769,-0.3476,-0.2498,-0.2058,0.3077,0.9737,0.9574,0.9945,1,0.8049,0.81,0.8217,0.8652,0.6944,0.7459,0.8138,0.7722,0.4895,0.4454,0.5598,0.49,0.208,0.0409,0.579,0.2231,0.406,0.0309,0.2101,0.8534,0.2785,-0.117,-0.1279,-0.1232,-0.0692,-0.0004,-0.3254,-0.4254,-0.282,-0.2983,0.0327,-0.2202,-0.4617,-0.2391,-0.1839,0.1835,0.2028,-0.0131,0.1947,0.2743,0.5441,0.5578,0.4786,0.5402,0.6034,0.5064,0.5451,0.3539,0.5336,0.6256,0.1204,-0.3076,-0.3369,-0.2653,-0.3145,-0.0503,0.2748,-0.2721,-0.2491,-0.0734,-0.1579,0.2488,0.5344,-0.1836,-0.219,-0.0191,-0.0128,0.3512,0.5906,-0.0613,-0.1919,0.1158,0.0086,0.2542
V2TG,0.8645,0.4195,0.4545,-0.0943,0.21,0.5693,0.8896,0.8769,0.885,0.8388,0.8505,0.7343,0.6162,0.5847,0.7247,0.5245,0.461,0.2272,0.1545,0.2186,0.4059,0.256,-0.3373,-0.2028,-0.2291,-0.1341,0.2689,0.7861,0.8056,0.8054,0.8049,1,0.9513,0.9479,0.9802,0.9466,0.8918,0.9143,0.9201,0.6724,0.6371,0.6839,0.6558,0.2632,0.0128,0.3298,0.2823,0.2053,-0.2266,-0.0172,0.8712,0.2602,-0.0646,-0.0063,-0.0663,-0.0153,-0.0042,-0.37,-0.4055,-0.3234,-0.3378,0.0435,-0.2065,-0.292,-0.214,-0.1643,0.3263,0.1894,0.1567,0.1856,0.2692,0.6453,0.5028,0.5444,0.4857,0.5855,0.6142,0.5855,0.4695,0.5734,0.6501,-0.0184,-0.3598,-0.2856,-0.3231,-0.3748,-0.1523,0.1571,-0.3111,-0.1524,-0.1149,-0.1989,0.0958,0.3874,-0.1124,-0.0114,0.0002,0.0149,0.2328,0.4408,0.0397,0.1201,0.1111,0.2085,0.3014
V2CH,0.8849,0.4608,0.4763,-0.117,0.2044,0.5988,0.8947,0.944,0.9311,0.8699,0.8781,0.7949,0.7553,0.724,0.8093,0.6612,0.5069,0.2286,0.1666,0.224,0.4323,0.2588,-0.3616,-0.2065,-0.2438,-0.1613,0.2685,0.7914,0.8656,0.8176,0.81,0.9513,1,0.9696,0.9643,0.9184,0.9419,0.9368,0.9035,0.6771,0.7134,0.7578,0.6945,0.2934,0.0702,0.4439,0.3243,0.2917,-0.2395,0.0349,0.8823,0.3433,0.0126,0.1056,0.0167,0.0686,0.0305,-0.3876,-0.409,-0.3425,-0.3551,0.0475,-0.255,-0.3069,-0.2615,-0.2105,0.3457,0.1907,0.1271,0.1882,0.2783,0.6961,0.5413,0.5786,0.5235,0.6264,0.642,0.6066,0.477,0.5975,0.6909,-0.0224,-0.3612,-0.2896,-0.3228,-0.3816,-0.1556,0.1339,-0.3367,-0.1648,-0.1174,-0.2174,0.0981,0.3969,-0.1249,-0.0508,-0.0087,0.005,0.2446,0.4882,0.0484,0.1024,0.1382,0.1995,0.3075
V2FC,0.8942,0.4091,0.4395,-0.1509,0.1869,0.586,0.9091,0.9218,0.9227,0.8573,0.8911,0.8154,0.6825,0.6701,0.799,0.6062,0.5173,0.2077,0.1468,0.201,0.4093,0.2503,-0.4054,-0.2598,-0.2939,-0.1934,0.2501,0.8045,0.8719,0.8288,0.8217,0.9479,0.9696,1,0.9542,0.93,0.9387,0.9584,0.9193,0.6712,0.6786,0.7382,0.6818,0.2611,0.0094,0.4001,0.2561,0.3407,-0.2503,0.0364,0.8766,0.3567,-0.0376,0.0542,-0.0327,0.0274,0.0302,-0.3864,-0.4078,-0.3409,-0.3507,0.0758,-0.228,-0.2869,-0.236,-0.18,0.3502,0.188,0.1515,0.1838,0.2766,0.6633,0.5045,0.557,0.4846,0.5933,0.6211,0.5695,0.4401,0.5572,0.6579,-0.0254,-0.4084,-0.3465,-0.3691,-0.4259,-0.1899,0.1335,-0.3802,-0.2161,-0.1644,-0.2542,0.065,0.386,-0.1627,-0.0889,-0.0478,-0.0185,0.2118,0.4754,0.0433,0.1101,0.1055,0.2093,0.3139
