Sample Name,Sequence,Dilution Factor (%)
SRD01,1,1
SRD02,2,1
SRD03,3,1
SRD04,4,25
SRD05,5,25
SRD06,6,25
SRD07,7,50
SRD08,8,50
SRD09,9,50
SRD10,10,75
SRD11,11,75
SRD12,12,75
SRD13,13,100
SRD14,14,100
SRD15,15,100
SRD16,16,1
SRD17,17,1
SRD18,18,1
SRD19,19,25
SRD20,20,25
SRD21,21,25
SRD22,22,50
SRD23,23,50
SRD24,24,50
SRD25,25,75
SRD26,26,75
SRD27,27,75
SRD28,28,100
SRD29,29,100
SRD30,30,100
